Area_id,Base Office
51,305 -  Bato
50,306 -  Baybay
129,307 -  Roxas
151,308 -  Cauayan
2,309 -  Cabugao
3,310 -  Batac
3,311 -  San Nicolas
5,312 -  Alicia
16,313 -  Candelaria
152,314 -  Siquijor
47,315 -  Sta. Fe
49,316 -  Poro
141,317 -  Inabanga
16,318 -  San Felipe
107,319 -  Bayambang
30,320 -  Mansalay
29,321 -  Naujan
29,322 -  Victoria
29,323 -  Calapan
10,324 -  Guimba
33,325 -  Rizal
123,326 -  Mangagoy
70,327 -  San Agustin
70,328 -  Tandag
70,329 -  Cantilan
73,330 -  Libmanan
87,331 -  Naga City 1
77,332 -  Pili
77,333 -  Iriga City
124,334 -  Molave 1
104,335 -  Kidapawan 2
120,336 -  Malita
54,337 -  Calinan
96,338 -  Glan
92,339 -  Tuguegarao
6,340 -  Ilagan
127,341 -  Abuyog
51,342 -  Maasin
51,343 -  Sogod
7,344 -  Sta. Rosa
52,345 -  Carigara
140,346 -  Kananga
140,347 -  Naval
87,348 -  Goa
87,349 -  Naga City 2
77,350 -  Baao
62,351 -  Midsayap
52,352 -  Palo
116,353 -  Tacloban
76,354 -  Labo
76,355 -  Daet
98,356 -  Lala
124,357 -  Pagadian City
64,358 -  Sindangan
69,359 -  Camiguin
15,360 -  Capas
92,361 -  Solana Cagayan Valley
59,362 -  Surallah 2
79,363 -  Polangui
138,364 -  Sto. Tomas
31,365 -  Cabuyao
133,366 -  Calamba
78,367 -  Legazpi City
140,368 -  Palompon
30,369 -  San Jose
37,370 -  Mabinay
6,371 -  Tumauini
136,372 -  Umingan
132,373 -  Sablayan
78,374 -  Daraga
74,375 -  Lucban
132,376 -  Mamburao
73,377 -  Sipocot
79,378 -  Ligao City
78,379 -  Guinobatan
89,380 -  Tabaco City
101,381 -  Pilar
101,382 -  Sorsogon City
101,383 -  Gubat
147,384 -  Bulan
80,385 -  Puerto Princesa 1
23,386 -  Naic
1,387 -  La Trinidad
136,388 -  Asingan
150,389 -  Lal-lo
15,390 -  Gerona
82,391 -  Quezon
80,392 -  Puerto Princesa 2
2,393 -  Bangued
9,394 -  Bolinao
96,395 -  Malungon
47,396 -  Medellin
45,397 -  Panglao
141,398 -  Carmen
3,399 -  Bangui
63,400 -  Maigo
83,401 -  Masbate City
110,402 -  Palayan
33,403 -  Baler
150,404 -  Aparri
109,405 -  Gattaran
97,406 -  Liloy
1,407 -  Naguillian
67,408 -  Wao
97,409 -  Ipil
84,410 -  Baganga
84,411 -  Manay
148,412 -  Aroroy
109,413 -  Alcala
6,414 -  Cabagan
151,415 -  Naguilian
85,416 -  Cordon
85,417 -  Maddela
85,418 -  Cabarroguis
82,419 -  Narra
83,420 -  Palanas
95,421 -  Roxas
95,422 -  Taytay
82,423 -  Brookes Point
82,424 -  Bataraza
95,425 -  El Nido
104,426 -  Antipas
89,427 -  Tiwi
89,428 -  Bacacay
147,429 -  Juban
147,430 -  Irosin
3,431 -  Bacarra
3,432 -  Dingras
127,433 -  Dulag
51,"434 -  Liloan, Southern Leyte"
5,435 -  Echague
55,436 -  Tibungco
83,437 -  Milagros
88,438 -  Cataingan
83,439 -  Uson
73,440 -  Calabanga
100,441 -  Catanauan
43,442 -  Bago 2
115,443 -  Sagay 2
81,444 -  Abulug
81,445 -  Sanchez Mira
150,446 -  Gonzaga
129,447 -  Burgos
33,448 -  Maria Aurora
93,449 -  Lagawe
33,450 -  Casiguran
87,451 -  Tigaon
73,452 -  San Fernando
79,453 -  Libon
79,454 -  Oas
79,455 -  Pio Duran
78,456 -  Camalig
89,457 -  Sto. Domingo
101,458 -  Castilla
88,459 -  Cawayan
88,460 -  Placer
111,461 -  Bontoc
4,462 -  San Fernando L. U.
111,463 -  Bauko
111,464 -  Buguias
110,465 -  Dingalan
99,466 -  San Juan
29,467 -  Puerto Galera
30,468 -  Rizal
30,469 -  Magsaysay
80,470 -  Puerto Princesa 3
131,471 -  Para¤aque
139,472 -  Jiabong
90,473 -  Borongan
90,474 -  Guiuan
116,475 -  Basey
91,476 -  Calbayog
91,477 -  Catarman
123,478 -  Tagbina
70,479 -  Claver
98,480 -  Tubod
117,481 -  Samal 2
103,482 -  Laak
9,483 -  Infanta
118,484 -  Maasim
139,485 -  Catbalogan
93,486 -  Banaue
85,487 -  Alfonso Lista
97,488 -  Imelda
124,489 -  Buug
71,490 -  Siargao 1
71,491 -  Siargao 2
98,492 -  Aurora
148,493 -  Mandaon
148,494 -  Balud
124,495 -  Mahayag
84,496 -  Cateel
55,497 -  Bunawan Davao City
102,498 -  San Fernando
102,499 -  San Jacinto
